Date,Country,Geography,Labour force characteristics,Sex,Age group,Statistics,Data type,UOM,SCALAR_FACTOR,Value
2021-03,Canada,Alberta,Unemployment,Females,55 years and over,Estimate,Seasonally adjusted,Persons,thousands,21.7
2021-04,Canada,Alberta,Unemployment,Females,55 years and over,Estimate,Seasonally adjusted,Persons,thousands,20.4
2021-05,Canada,Alberta,Unemployment,Females,55 years and over,Estimate,Seasonally adjusted,Persons,thousands,16.8
2021-06,Canada,Alberta,Unemployment,Females,55 years and over,Estimate,Seasonally adjusted,Persons,thousands,15.6
2021-07,Canada,Alberta,Unemployment,Females,55 years and over,Estimate,Seasonally adjusted,Persons,thousands,18.5
2021-08,Canada,Alberta,Unemployment,Females,55 years and over,Estimate,Seasonally adjusted,Persons,thousands,17.5
2021-09,Canada,Alberta,Unemployment,Females,55 years and over,Estimate,Seasonally adjusted,Persons,thousands,21.5
2021-10,Canada,Alberta,Unemployment,Females,55 years and over,Estimate,Seasonally adjusted,Persons,thousands,20.1
2021-11,Canada,Alberta,Unemployment,Females,55 years and over,Estimate,Seasonally adjusted,Persons,thousands,16.8
2021-12,Canada,Alberta,Unemployment,Females,55 years and over,Estimate,Seasonally adjusted,Persons,thousands,20.1
2013-01,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.0
2013-02,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,5.4
2013-03,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.6
2013-04,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.4
2013-05,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,2.5
2013-06,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.2
2013-07,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,3.4
2013-08,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.3
2013-09,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.3
2013-10,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.8
2013-11,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.6
2013-12,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,3.6
2014-01,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,3.2
2014-02,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,3.3
2014-03,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,2.9
2014-04,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,3.9
2014-05,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.8
2014-06,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,3.0
2014-07,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,3.8
2014-08,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,5.3
2014-09,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,2.3
2014-10,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,2.5
2014-11,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.1
2014-12,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.2
2015-01,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,3.7
2015-02,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,2.5
2015-03,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,3.7
2015-04,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,3.6
2015-05,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.1
2015-06,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.7
2015-07,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.5
2015-08,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.6
2015-09,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.7
2015-10,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,5.4
2015-11,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.5
2015-12,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,5.1
2016-01,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.0
2016-02,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.5
2016-03,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.4
2016-04,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.2
2016-05,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.5
2016-06,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.9
2016-07,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.4
2016-08,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.6
2016-09,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.2
2016-10,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.8
2016-11,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.7
2016-12,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,8.9
2017-01,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.6
2017-02,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,8.0
2017-03,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,8.3
2017-04,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.0
2017-05,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.4
2017-06,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.7
2017-07,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.9
2017-08,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.5
2017-09,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,8.1
2017-10,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.3
2017-11,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,8.2
2017-12,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.5
2018-01,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.7
2018-02,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.5
2018-03,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.7
2018-04,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,5.8
2018-05,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,5.9
2018-06,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.9
2018-07,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.4
2018-08,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.4
2018-09,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.4
2018-10,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,5.5
2018-11,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,5.4
2018-12,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.3
2019-01,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,5.5
2019-02,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.8
2019-03,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.4
2019-04,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.4
2019-05,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.5
2019-06,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,5.4
2019-07,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.3
2019-08,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,4.0
2019-09,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.0
2019-10,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.7
2019-11,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.3
2019-12,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.9
2020-01,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,6.2
2020-02,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.2
2020-03,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.1
2020-04,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,9.1
2020-05,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,11.3
2020-06,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,12.4
2020-07,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,11.8
2020-08,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,11.4
2020-09,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,9.5
2020-10,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,10.3
2020-11,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,11.2
2020-12,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,10.6
2021-01,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,11.2
2021-02,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.8
2021-03,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,9.3
2021-04,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,9.0
2021-05,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.4
2021-06,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.1
2021-07,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,8.5
2021-08,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,8.0
2021-09,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,9.8
2021-10,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,9.4
2021-11,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,7.9
2021-12,Canada,Alberta,Unemployment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,9.2
2013-01,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.4
2013-02,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.4
2013-03,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.7
2013-04,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.3
2013-05,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.0
2013-06,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.6
2013-07,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.2
2013-08,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.6
2013-09,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.4
2013-10,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.4
2013-11,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.7
2013-12,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.0
2014-01,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.0
2014-02,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.6
2014-03,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.7
2014-04,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.8
2014-05,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.8
2014-06,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.4
2014-07,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.4
2014-08,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.1
2014-09,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.5
2014-10,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.3
2014-11,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.6
2014-12,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.2
2015-01,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.9
2015-02,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.4
2015-03,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.8
2015-04,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,40.0
2015-05,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,40.1
2015-06,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.2
2015-07,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.4
2015-08,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.7
2015-09,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.1
2015-10,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.8
2015-11,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.7
2015-12,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.7
2016-01,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.3
2016-02,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.9
2016-03,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.8
2016-04,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.2
2016-05,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.3
2016-06,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.1
2016-07,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.2
2016-08,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.6
2016-09,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.8
2016-10,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.7
2016-11,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.5
2016-12,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.2
2017-01,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.8
2017-02,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.7
2017-03,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.3
2017-04,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.8
2017-05,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.6
2017-06,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.9
2017-07,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.1
2017-08,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.4
2017-09,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.8
2017-10,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.2
2017-11,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.4
2017-12,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.6
2018-01,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.9
2018-02,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.0
2018-03,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.1
2018-04,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.2
2018-05,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.2
2018-06,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.9
2018-07,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.9
2018-08,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.8
2018-09,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.5
2018-10,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.7
2018-11,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.4
2018-12,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.0
2019-01,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.4
2019-02,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.6
2019-03,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.8
2019-04,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.8
2019-05,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.4
2019-06,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.1
2019-07,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.2
2019-08,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.5
2019-09,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.7
2019-10,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.7
2019-11,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.7
2019-12,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.2
2020-01,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.0
2020-02,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.7
2020-03,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,33.6
2020-04,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,32.2
2020-05,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,31.9
2020-06,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,32.1
2020-07,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,32.7
2020-08,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,33.4
2020-09,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,33.6
2020-10,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,35.1
2020-11,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,35.9
2020-12,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.6
2021-01,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.0
2021-02,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.4
2021-03,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,39.8
2021-04,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.4
2021-05,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.4
2021-06,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.3
2021-07,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.9
2021-08,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.7
2021-09,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.7
2021-10,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,35.9
2021-11,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,35.7
2021-12,Canada,Alberta,Participation rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.6
2013-01,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.8
2013-02,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.3
2013-03,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,35.9
2013-04,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.7
2013-05,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.0
2013-06,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.9
2013-07,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.8
2013-08,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.9
2013-09,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.7
2013-10,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.5
2013-11,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.9
2013-12,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.6
2014-01,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,36.8
2014-02,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.4
2014-03,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.6
2014-04,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.3
2014-05,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.9
2014-06,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,38.3
2014-07,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.9
2014-08,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.1
2014-09,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.6
2014-10,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,37.3
2014-11,Canada,Alberta,Employment rate,Females,55 years and over,Estimate,Seasonally adjusted,Percentage,units,35.1
